날짜,나이키덩크하이네이비,나이키덩크하이범고래,나이키덩크하이오렌지
2021-08-02,,8.0,1.0
2021-08-03,,5.0,1.0
2021-08-04,,4.0,1.0
2021-08-05,,6.0,2.0
2021-08-06,,11.0,
2021-08-07,,8.0,
2021-08-08,,9.0,
2021-08-09,,6.0,1.0
2021-08-10,,11.0,
2021-08-11,,9.0,
2021-08-12,,11.0,1.0
2021-08-13,,9.0,
2021-08-14,,9.0,2.0
2021-08-15,,12.0,
2021-08-16,,14.0,
2021-08-17,,17.0,1.0
2021-08-18,,14.0,
2021-08-19,,10.0,
2021-08-20,,14.0,
2021-08-21,,18.0,2.0
2021-08-22,,18.0,1.0
2021-08-23,,12.0,
2021-08-24,,10.0,1.0
2021-08-25,,9.0,1.0
2021-08-26,,7.0,1.0
2021-08-27,,8.0,1.0
2021-08-28,1.0,11.0,
2021-08-29,,8.0,
2021-08-30,1.0,12.0,1.0
2021-08-31,1.0,17.0,3.0
2021-09-01,1.0,23.0,
2021-09-02,2.0,8.0,
2021-09-03,4.0,18.0,2.0
2021-09-04,2.0,11.0,
2021-09-05,2.0,18.0,1.0
2021-09-06,1.0,9.0,2.0
2021-09-07,1.0,9.0,
2021-09-08,1.0,18.0,1.0
2021-09-09,4.0,10.0,
2021-09-10,,3.0,2.0
2021-09-11,1.0,8.0,1.0
2021-09-12,1.0,10.0,2.0
2021-09-13,2.0,13.0,1.0
2021-09-14,2.0,14.0,3.0
2021-09-15,3.0,11.0,3.0
2021-09-16,2.0,9.0,5.0
2021-09-17,1.0,5.0,1.0
2021-09-18,4.0,7.0,3.0
2021-09-19,1.0,10.0,2.0
2021-09-20,2.0,8.0,4.0
2021-09-21,1.0,14.0,3.0
2021-09-22,1.0,14.0,5.0
2021-09-23,3.0,14.0,
2021-09-24,1.0,5.0,1.0
2021-09-25,4.0,11.0,2.0
2021-09-26,2.0,8.0,
2021-09-27,3.0,23.0,2.0
2021-09-28,1.0,13.0,2.0
2021-09-29,1.0,9.0,1.0
2021-09-30,3.0,3.0,4.0
2021-10-01,2.0,4.0,
2021-10-02,2.0,8.0,1.0
2021-10-03,3.0,5.0,3.0
2021-10-04,4.0,13.0,2.0
2021-10-05,,12.0,2.0
2021-10-06,1.0,13.0,2.0
2021-10-07,1.0,11.0,1.0
2021-10-08,1.0,13.0,2.0
2021-10-09,3.0,10.0,1.0
2021-10-10,2.0,12.0,1.0
2021-10-11,3.0,10.0,
2021-10-12,1.0,8.0,1.0
2021-10-13,2.0,12.0,3.0
2021-10-14,4.0,8.0,1.0
2021-10-15,2.0,9.0,1.0
2021-10-16,5.0,12.0,
2021-10-17,,10.0,
2021-10-18,1.0,11.0,1.0
2021-10-19,3.0,11.0,
2021-10-20,1.0,5.0,
2021-10-21,1.0,9.0,
2021-10-22,,7.0,1.0
2021-10-23,,14.0,
2021-10-24,,5.0,1.0
2021-10-25,1.0,7.0,1.0
2021-10-26,1.0,11.0,2.0
2021-10-27,1.0,9.0,
2021-10-28,,7.0,2.0
2021-10-29,1.0,6.0,
2021-10-30,,8.0,
2021-10-31,,10.0,
2021-11-01,,12.0,
2021-11-02,1.0,14.0,
2021-11-03,,5.0,
2021-11-04,,9.0,
2021-11-05,,9.0,
2021-11-06,,10.0,
2021-11-07,1.0,29.0,1.0
2021-11-08,1.0,10.0,
2021-11-09,2.0,10.0,
2021-11-10,3.0,9.0,1.0
2021-11-11,1.0,9.0,
2021-11-12,1.0,10.0,
2021-11-13,1.0,6.0,
